orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
K03651	5.645819259	7.189988816	34.60401563	5.779452448	15.15695321	4.069586181	2.30287658	62.55142314	1.000501201	2.652540749	5.223375594	15.3275362	2.520516141	2.387799079	0.904399025	2.326503946	95.99034006	3.524755668
K03652	43.10707551	35.0269297	79.89024222	75.35102709	80.04486843	43.94730634	71.18853785	28.66243216	81.2296766	35.83797292	55.15549697	138.76746	21.31659204	63.85676209	154.9674897	30.78456818	31.07565398	72.80519673
K03653	0	0.696014444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03654	1223.691915	1175.234547	1045.164767	1055.573729	1409.665002	1318.336564	854.4231643	1178.323681	603.1924198	1494.675207	1249.43312	858.5049686	1782.05019	1387.703168	616.5910686	1363.844442	859.0779302	1212.62055
K03655	1995.104552	1657.701881	1536.29709	1669.04548	1564.506899	1679.271584	1492.624782	1457.353448	1325.556671	1487.684432	1386.850412	1275.31608	1590.218222	1910.758263	1138.310119	1505.714733	1204.675673	1705.498111
K03656	6.912754351	6.970484658	36.9825994	4.425946546	18.3094038	2.160649113	0.665644957	75.93599697	2.668807046	1.214810515	5.547884502	17.07301299	0.846130764	0.690622072	1.688087363	0.996603836	119.9456756	1.230969606
K03657	661.8617421	704.2489552	758.9153093	678.5460823	621.4203229	723.8298805	707.8919772	592.3017912	883.5717032	547.214147	657.2901783	733.8327416	398.968125	781.3105481	882.5425814	556.1048362	622.2732	720.1038386
K03658	115.8889562	80.1858488	113.1822191	66.36824919	52.1687039	92.52086397	98.25136633	92.52670002	57.85819254	29.89239777	33.6246111	36.76138237	24.20469003	58.15606333	33.6701652	20.64575084	111.019477	62.32645219
K03660	32.61481005	49.87810845	95.93548215	73.00881795	20.1196785	36.12754024	76.57326241	57.85702159	46.23650457	25.04083303	51.3476001	17.62301298	16.51830345	42.86272848	69.68136108	27.32182898	46.44378664	41.66442462
K03661	0	0	2.261135183	0	0	0	0	0	0	0	0	0.653566367	0	0	0	0	0	0
K03664	1188.175775	1298.707093	1119.563661	1269.141429	1167.038141	1141.338918	1206.481883	968.895437	1229.518807	1120.085257	1111.853213	934.5715456	1116.259357	1150.333505	1076.17517	1164.91241	876.9250706	1077.971279
K03665	911.1762639	986.9165122	1004.066888	884.6316878	1117.424837	1126.187952	798.8872757	866.841763	646.4660137	1089.628375	951.992689	917.3177362	1211.860997	1039.745161	777.424041	1042.09735	778.146012	970.7033742
K03666	85.17510973	35.57751743	167.0993167	127.1287279	64.47132393	51.12479667	124.3662393	163.0104315	149.3183214	41.73542308	95.82149781	118.7979577	20.92536312	77.30238437	242.1209938	53.95614325	200.5120307	85.81578215
K03667	64.19680147	98.89414158	119.3356188	60.44391968	69.58086837	64.6260512	40.19831879	90.27227099	113.4416771	41.94862966	50.68715708	84.1380711	18.75714496	68.26291095	87.62884217	39.87683449	143.4294175	80.96141261
K03668	0	2.046996327	18.69569081	2.503950169	7.847310406	0	0.759551856	52.01065845	0	0	1.904852322	6.458727553	0	0	0	0	91.28587353	0
K03669	2.077634806	0.784497071	25.88367967	1.44687	11.63874946	2.046636857	0.331877194	47.71641552	1.318725359	0.613367041	2.984756265	10.903226	0.673307416	0.171567786	0.969724551	0.805491301	78.07335809	1.496366866
K03670	3.695496979	3.247815368	29.05758274	3.062253373	14.43312093	5.157242724	0.207667736	47.74902511	0.531314502	0	3.6430471	5.763930967	0.835781807	0.450198697	0.968891955	0	82.02797197	1.342608666
K03671	599.4499174	507.8539909	802.4684874	612.7356272	566.5773819	946.2611204	875.4863635	602.8925754	550.8006262	1143.082041	510.8258919	586.0122709	989.3244167	547.7717005	600.7183764	831.8440758	589.4804799	753.7404437
K03672	4.639372942	1.086583701	30.31791868	8.395486084	28.6424082	2.504347065	0.729569546	59.05234658	0.962020386	0	4.476631356	15.74671771	1.024183461	0	0	0	107.4859599	0
K03673	5.262251657	6.420935659	63.56354299	5.042522737	30.3194216	2.939882353	1.051133374	146.0801114	0.661389015	1.449354931	7.030978303	13.07935056	2.095194777	1.63387988	2.243163211	0.949599456	215.2364211	2.238835912
K03674	0	5.289803896	16.78285663	2.06207661	4.460834442	1.425412287	0	54.62009612	0	1.172976904	6.25076624	19.69157018	3.349682379	3.417764603	1.478633666	0	103.1304316	0
K03675	5.608735853	4.214933983	33.01899415	0	12.27424161	0.56353509	0.515788702	50.87628936	3.122151666	0	1.240368954	7.162129286	0.715384428	0.538643048	0.5845761	0	89.01377218	0
